First Name,Last Name,ID,Birthdate,Major,GPA
Muriel,Bridges,2049,1/12/1999,Chemistry,1.442
Steve,Todd,6353,2/19/1999,Biology,3.512
Wilfred,Doyle,3965,4/20/1999,Mechanical Engineering,3.059
Javier,Burns,7495,6/20/1999,Computer Engineering,1.061
Jay,Munoz,9621,10/5/1999,Finance,3.912
Nora,Taylor,5128,10/19/1999,Mechanical Engineering,3.922
Ana,Harrison,2189,12/6/1999,Computer Science,2.622
Spencer,Gilbert,1999,1/6/2000,Computer Engineering,3.973
Jessica,Powell,9952,3/18/2000,Computer Science,2.948
Erica,Colon,6512,4/3/2000,Chemistry,1.648
Dan,Bradley,1580,5/30/2000,Computer Science,3.835
Leon,Holt,8030,6/30/2000,Computer Engineering,2.548
Nettie,Maldonado,7491,7/7/2000,Mechanical Engineering,1.145
Joel,Gray,1770,8/18/2000,Electrical Engineering,2.176
Matthew,Walters,6896,8/21/2000,Finance,3.139
Roman,Gross,7076,1/21/2001,Mechanical Engineering,3.593
Andrew,Daniel,4283,4/13/2001,Computer Engineering,2.294
Marta,Conner,4680,10/11/2001,Computer Science,2.143
Jaime,Gutierrez,4123,11/12/2001,Finance,3.919
Ellis,Haynes,5606,12/9/2001,Biology,2.172
Dianna,Bailey,7859,12/28/2001,Mechanical Engineering,3.756
Chelsea,Nunez,2637,5/10/2002,Computer Science,2.371
Theresa,Holmes,3426,11/29/2002,Mathematics,2.456
Nicole,Steele,9836,12/15/2002,Computer Engineering,3.908
Taylor,Gonzalez,7577,12/20/2002,Mathematics,2.468
Cathy,Watkins,2730,3/13/1999,Chemistry,2.465
Delores,Ballard,2972,9/11/1999,Mathematics,3
Melanie,Waters,3739,9/19/1999,Mechanical Engineering,1.587
Freddie,May,1990,10/19/1999,Electrical Engineering,2.495
Reginald,Mendoza,5272,1/31/2000,Chemistry,3.839
Rolando,Lloyd,1267,2/3/2000,Computer Science,3.653
Alma,Hunter,6794,2/23/2000,Mechanical Engineering,2.049
Sergio,Hall,6779,2/29/2000,Biology,2.925
Dallas,Dawson,4043,6/20/2000,Computer Science,3.665
Terri,Harvey,2596,7/30/2000,Biology,3.547
Hector,Bishop,1808,12/8/2000,Literature,3.36
Sylvester,Soto,1341,12/16/2000,Mechanical Engineering,3.052
Virginia,Hubbard,7878,5/11/2001,Electrical Engineering,2.72
Philip,Gibson,1026,6/5/2001,Biology,2.627
Elena,Miller,2992,7/3/2001,Mathematics,3.582
Jeremy,Manning,6416,8/27/2001,Computer Engineering,3.814
Thomas,Reid,8785,9/27/2001,Chemistry,2.097
Crystal,Kelley,3908,10/6/2001,Electrical Engineering,1.586
Bradford,Mullins,8789,11/28/2001,Biology,2.447
Sally,Sparks,6403,1/4/2002,Biology,1.771
Charlie,Poole,1934,1/27/2002,Mathematics,1.757
Heather,Reed,1750,7/31/2002,Biomedical Engineering,2.317
Darren,Beck,7266,9/22/2002,Mechanical Engineering,2.909
Cameron,Diaz,9470,10/27/2002,Literature,3.122
Toni,Mack,4453,11/15/2002,Biomedical Engineering,2.36
Victoria,Barnett,2042,1/3/1999,Finance,1.869
Madeline,Brady,1591,3/2/1999,Finance,2.644
Betty,Schwartz,3619,4/29/1999,Biomedical Engineering,3.676
Mona,Carroll,6102,6/18/1999,Chemistry,3.167
Eugene,Byrd,8356,9/21/1999,Electrical Engineering,2.275
Clifton,Potter,8870,9/30/1999,Mechanical Engineering,1.03
Laurence,Porter,6488,3/28/2000,Finance,1.203
Damon,Bryant,4814,6/22/2000,Biology,3.114
Maryann,Jones,5703,9/12/2000,Computer Engineering,3.844
Rachel,Cortez,2203,11/6/2000,Finance,3.067
Dora,Shaw,2822,5/9/2001,Biology,3.923
Gail,Casey,7384,6/4/2001,Literature,3.352
Evan,Collins,9007,6/13/2001,Biomedical Engineering,1.397
Arnold,Wong,2814,7/6/2001,Finance,3.342
Howard,Morales,7101,7/11/2001,Industrial Engineering,2.376
Lillie,Bates,5772,8/6/2001,Mechanical Engineering,2.569
Leona,Cruz,6286,12/1/2001,Industrial Engineering,3.545
Freda,McKinney,6716,12/15/2001,Software Engineering,1.726
Beulah,Valdez,9317,2/24/2002,Finance,2.092
Eric,Glover,1151,5/6/2002,Biology,3.245
Drew,Daniels,9416,7/3/2002,Literature,3.835
Patrick,Webb,1539,8/18/2002,Software Engineering,3.431
Yolanda,Alexander,3588,9/22/2002,Finance,3.934
Carlos,Little,7037,10/5/2002,Computer Engineering,1.73
Leo,Klein,9460,12/8/2002,Software Engineering,1.205
Alexandra,Strickland,3755,3/2/1999,Industrial Engineering,2.327
Max,Matthews,4366,3/7/1999,Software Engineering,3.822
Felipe,Huff,9103,3/16/1999,Chemistry,3.793
Evelyn,Greer,2847,4/24/1999,Political Science,1.311
Jeffrey,Norman,5636,6/12/1999,Political Science,1.062
Frances,Price,5274,6/16/1999,Mechanical Engineering,3.086
Walter,Holloway,7363,6/23/1999,Political Science,3.901
Eileen,Cox,6029,7/4/1999,Finance,1.636
Roberto,Perkins,7678,7/12/1999,Software Engineering,3.391
Jim,Henry,9831,8/5/1999,Literature,1.762
Traci,Lowe,7382,5/22/2000,Biology,1.124
Marco,Hamilton,3055,6/22/2000,Computer Engineering,1.302
Hugo,Sherman,9420,7/6/2000,Electrical Engineering,3.579
Archie,Logan,6589,7/10/2000,Political Science,1.412
Edith,Vega,3936,7/26/2000,Mechanical Engineering,3.576
Alfred,Maxwell,3043,9/22/2000,Political Science,3.574
Ashley,Goodman,9649,12/1/2000,Data Science,3.327
Gilberto,Chandler,5442,12/6/2000,Mechanical Engineering,3.547
Bert,Griffith,2810,1/4/2001,Data Science,2.214
